date,Station,StationInfo,obs,mod,Version
2023-07-01T00:00:00Z,Aalborg,urb,,62.2725,eta_thor_dehm
2023-07-02T00:00:00Z,Aalborg,urb,80.95428571,67.02875,eta_thor_dehm
2023-07-03T00:00:00Z,Aalborg,urb,70.725,65.74875,eta_thor_dehm
2023-07-04T00:00:00Z,Aalborg,urb,68.54875,61.985,eta_thor_dehm
2023-07-05T00:00:00Z,Aalborg,urb,73.405,76.62875,eta_thor_dehm
2023-07-06T00:00:00Z,Aalborg,urb,77.325,67.49125,eta_thor_dehm
2023-07-07T00:00:00Z,Aalborg,urb,99.22375,75.79125,eta_thor_dehm
2023-07-08T00:00:00Z,Aalborg,urb,97.77625,77.4275,eta_thor_dehm
2023-07-09T00:00:00Z,Aalborg,urb,104.33,85.475,eta_thor_dehm
2023-07-10T00:00:00Z,Aalborg,urb,100.4025,88.64,eta_thor_dehm
2023-07-11T00:00:00Z,Aalborg,urb,79.88333333,78.74,eta_thor_dehm
2023-07-12T00:00:00Z,Aalborg,urb,79.47625,70.23375,eta_thor_dehm
2023-07-13T00:00:00Z,Aalborg,urb,83.50625,75.69125,eta_thor_dehm
2023-07-14T00:00:00Z,Aalborg,urb,,77.4925,eta_thor_dehm
2023-07-15T00:00:00Z,Aalborg,urb,,85.1375,eta_thor_dehm
2023-07-16T00:00:00Z,Aalborg,urb,,67.825,eta_thor_dehm
2023-07-17T00:00:00Z,Aalborg,urb,72.80625,68.02625,eta_thor_dehm
2023-07-18T00:00:00Z,Aalborg,urb,70.15625,63.285,eta_thor_dehm
2023-07-19T00:00:00Z,Aalborg,urb,72.05125,68.6675,eta_thor_dehm
2023-07-20T00:00:00Z,Aalborg,urb,69.765,62.97375,eta_thor_dehm
2023-07-21T00:00:00Z,Aalborg,urb,73.965,64.01125,eta_thor_dehm
2023-07-22T00:00:00Z,Aalborg,urb,68.1425,67.05375,eta_thor_dehm
2023-07-23T00:00:00Z,Aalborg,urb,73.49,64.8275,eta_thor_dehm
2023-07-24T00:00:00Z,Aalborg,urb,66.3175,64.95625,eta_thor_dehm
2023-07-25T00:00:00Z,Aalborg,urb,72.35375,59.815,eta_thor_dehm
2023-07-26T00:00:00Z,Aalborg,urb,72.89375,54.965,eta_thor_dehm
2023-07-27T00:00:00Z,Aalborg,urb,63.68,67.09375,eta_thor_dehm
2023-07-28T00:00:00Z,Aalborg,urb,75.41,77.935,eta_thor_dehm
2023-07-29T00:00:00Z,Aalborg,urb,68.73,84.31875,eta_thor_dehm
2023-07-30T00:00:00Z,Aalborg,urb,75.67625,77.935,eta_thor_dehm
2023-07-31T00:00:00Z,Aalborg,urb,80.21375,71.90125,eta_thor_dehm
2023-08-01T00:00:00Z,Aalborg,urb,,63.93125,eta_thor_dehm
